23,113,28,2,15,16,10,11,13,23,36,113,114,9,0,20,9,16,4,8,21,5,110,11,18,6,111,112,109,114,27,4,30,18,15,3,6,113,41,8,21,22,27,16,12,38,20,17,24,12,17,115,9,36,39,13,8,37,23,12,36,24,8,7,34,3,32,12,35,18,16,15,19,17,15,18,10,16,16,10,19,111,10,12,32,27,19,20,6,4,13,5,25,2,18,11,22,7,6,7,3,18,13,25,4,24,32,17,41,114,28,16,2,26,
53,113,69,15,4,5,41,24,7,38,22,113,111,34,14,0,17,9,11,43,34,23,111,16,7,44,113,113,113,114,18,19,13,5,8,26,13,111,24,16,2,56,10,27,9,17,8,9,9,25,7,112,11,16,17,35,6,26,14,5,24,35,18,10,18,30,47,25,12,9,9,3,6,10,4,46,6,2,6,21,11,114,17,43,87,42,50,20,12,9,6,12,56,19,41,22,35,16,8,7,25,14,7,9,20,2,12,28,18,112,10,3,11,36,
9,111,10,9,15,16,19,3,15,9,25,112,112,8,10,22,0,24,10,16,7,10,111,9,20,14,113,110,110,112,17,7,45,18,18,8,6,112,40,4,24,3,42,5,13,31,27,16,37,3,23,114,11,23,24,10,11,26,15,13,22,6,7,9,19,14,8,3,56,21,21,15,18,22,15,6,12,17,18,2,26,114,8,22,13,7,7,5,5,21,14,5,10,19,7,2,8,4,11,7,17,28,15,41,23,35,22,6,25,112,43,16,15,8,
67,111,45,19,17,18,25,52,22,58,12,110,109,25,17,9,35,0,17,28,53,29,108,8,9,29,115,114,111,113,8,24,31,25,2,29,20,108,13,32,21,40,29,43,23,7,7,24,9,47,5,113,18,7,8,28,7,15,7,4,13,26,10,15,9,33,37,51,2,11,4,12,19,5,4,58,20,10,7,47,2,115,9,31,92,32,64,11,19,10,3,19,71,18,62,44,54,24,9,8,23,6,10,27,13,7,6,44,9,113,28,5,11,27,
18,113,22,6,9,10,7,7,9,17,21,112,113,6,5,12,4,11,0,5,15,8,110,8,12,3,111,111,110,113,13,5,28,12,9,8,3,113,34,3,15,14,25,10,8,26,15,10,19,9,12,114,6,25,31,10,6,22,10,7,21,15,5,4,20,7,18,8,25,13,10,9,12,11,9,14,7,10,10,6,13,111,7,8,33,18,15,12,2,8,8,2,20,6,13,7,16,4,6,4,9,12,8,22,8,15,21,11,32,113,24,10,6,16,
27,109,14,7,25,26,2,18,12,24,13,107,111,4,4,38,10,21,5,0,22,12,110,4,26,2,111,110,110,110,7,10,30,50,10,13,2,112,14,9,53,9,27,14,10,8,20,14,23,17,10,109,8,8,9,8,8,14,6,17,11,9,3,3,8,11,12,19,14,23,9,32,28,8,18,22,9,39,17,16,26,111,4,3,59,12,24,6,8,12,15,7,29,6,25,14,23,10,8,6,13,16,12,24,12,32,7,15,10,108,27,20,10,10,
8,112,17,19,25,27,28,5,25,3,34,112,112,16,20,33,5,31,19,25,0,18,111,19,31,23,113,110,110,112,25,16,46,30,28,17,13,112,46,9,35,8,42,3,23,39,34,26,45,8,31,114,20,32,33,18,19,35,24,23,30,14,15,17,26,24,16,5,57,32,29,27,29,30,27,5,22,29,29,4,35,114,16,30,8,15,6,13,12,30,26,12,9,24,6,6,2,10,19,14,26,35,25,42,29,39,30,2,34,112,44,28,25,16,
14,110,15,4,20,21,14,7,20,14,33,110,113,10,5,23,5,19,9,9,12,0,108,15,20,7,110,109,108,111,22,2,29,23,17,3,7,112,47,4,26,9,26,7,19,41,23,21,27,8,20,113,16,34,41,16,11,34,19,13,29,22,9,8,28,4,30,8,34,21,18,20,23,19,17,9,17,21,18,6,21,110,11,15,28,23,11,18,3,9,14,6,16,6,12,7,13,4,13,9,7,20,17,25,7,25,30,8,42,113,27,18,6,24,
23,114,29,2,16,17,11,12,15,24,35,114,114,10,3,21,10,19,4,9,22,5,0,12,20,6,112,113,111,115,27,4,31,19,16,3,6,113,42,9,23,22,28,17,14,39,21,18,26,13,18,116,11,38,42,14,9,37,24,13,36,24,9,8,34,3,32,13,36,20,17,16,20,18,16,19,12,17,17,11,21,112,11,13,32,28,20,20,7,5,15,5,25,4,19,12,23,8,7,8,5,19,14,27,5,27,34,18,43,115,29,17,4,26,
26,111,15,12,32,32,2,28,46,24,6,110,109,4,7,27,14,16,9,3,21,18,110,0,20,4,114,113,110,113,3,15,70,48,6,21,5,110,8,12,44,9,66,14,48,4,14,50,17,11,6,110,40,4,5,5,24,9,2,20,5,5,3,6,4,25,9,23,8,17,5,29,33,4,12,21,43,28,11,20,19,114,2,3,76,8,23,4,13,34,9,12,33,9,33,16,23,16,27,25,36,10,36,63,19,22,3,15,6,110,67,14,17,6,
